Date,Qty
12/01/2014,8.00
12/02/2014,4.00
12/03/2014,1.00
12/04/2014,4.00
12/05/2014,10.00
12/06/2014,9.00
12/07/2014,8.00
12/09/2014,8.00
12/10/2014,6.00
12/11/2014,3.00
12/12/2014,13.00
12/13/2014,11.00
12/14/2014,5.00
12/16/2014,1.00
12/19/2014,19.00
12/20/2014,14.00
12/21/2014,9.00
12/22/2014,8.00
12/27/2014,13.00
12/28/2014,6.00
12/29/2014,7.00
12/30/2014,3.00
12/31/2014,8.00
01/02/2015,7.00
01/03/2015,15.00
01/04/2015,5.00
01/05/2015,8.00
01/06/2015,1.00
01/07/2015,3.00
01/08/2015,5.00
01/09/2015,17.00
01/10/2015,13.00
01/11/2015,7.00
01/12/2015,3.00
01/13/2015,5.00
01/14/2015,3.00
01/15/2015,8.00
01/16/2015,9.00
01/17/2015,16.00
01/18/2015,8.00
01/20/2015,1.00
01/21/2015,4.00
01/22/2015,5.00
01/23/2015,9.00
01/24/2015,7.00
01/25/2015,7.00
01/26/2015,5.00
01/27/2015,2.00
01/28/2015,9.00
01/29/2015,4.00
01/30/2015,13.00
01/31/2015,10.00
02/01/2015,16.00
02/03/2015,2.00
02/04/2015,4.00
02/05/2015,5.00
02/06/2015,13.00
02/07/2015,10.00
02/08/2015,5.00
02/09/2015,2.00
02/10/2015,3.00
02/11/2015,7.00
02/12/2015,4.00
02/13/2015,16.00
02/14/2015,15.00
02/15/2015,6.00
02/16/2015,5.00
02/17/2015,4.00
02/18/2015,1.00
02/19/2015,3.00
02/20/2015,23.00
02/21/2015,20.00
02/22/2015,3.00
02/23/2015,5.00
02/24/2015,4.00
02/25/2015,4.00
02/26/2015,5.00
02/27/2015,15.00
02/28/2015,15.00
03/02/2015,3.00
03/03/2015,7.00
03/04/2015,7.00
03/05/2015,8.00
03/06/2015,23.00
03/07/2015,10.00
03/08/2015,10.00
03/09/2015,5.00
03/10/2015,3.00
03/11/2015,9.00
03/12/2015,12.00
03/13/2015,1.00
03/13/2015,12.00
03/14/2015,15.00
03/15/2015,10.00
03/16/2015,4.00
03/17/2015,2.00
03/18/2015,3.00
03/19/2015,7.00
03/20/2015,17.00
03/21/2015,13.00
03/22/2015,15.00
03/23/2015,3.00
03/24/2015,4.00
03/25/2015,1.00
03/26/2015,2.00
03/27/2015,10.00
03/28/2015,9.00
03/29/2015,6.00
03/30/2015,4.00
03/31/2015,3.00
